Benchmark,Scale/MOP,Method,N,Full success,Public feasible,Domain quality,Ref gap score,Solver timeout,Solver time
swta,MOP3_NT50_NS8_NC6_NV8_NW6_O2,WTA-MAFA v0.4,2,1,1,0.761247190884,NA,0,0.039
swta,MOP3_NT50_NS8_NC6_NV8_NW6_O3,WTA-MAFA v0.4,2,1,1,0.761247190884,NA,0,0.04
swta,MOP3_NT50_NS8_NC6_NV8_NW6_O4,WTA-MAFA v0.4,2,1,1,0.761247190884,NA,0,0.039
swta,MOP4_NT100_NS10_NC9_NV10_NW9_O2,WTA-MAFA v0.4,2,1,1,0.7453551599495,NA,0,0.313
swta,MOP4_NT100_NS10_NC9_NV10_NW9_O3,WTA-MAFA v0.4,2,1,1,0.7453551599495,NA,0,0.284
swta,MOP4_NT100_NS10_NC9_NV10_NW9_O4,WTA-MAFA v0.4,2,1,1,0.7453551599495,NA,0,0.292
swta,MOP4_NT100_NS6_NC6_NV6_NW6_O2,WTA-MAFA v0.4,2,1,1,0.7068430579455001,NA,0,0.284
swta,MOP4_NT100_NS6_NC6_NV6_NW6_O3,WTA-MAFA v0.4,2,0.5,0.5,0.712521713425,NA,0,0.041
swta,MOP4_NT100_NS6_NC6_NV6_NW6_O4,WTA-MAFA v0.4,2,1,1,0.7068430579455001,NA,0,0.088
swta,MOP4_NT200_NS12_NC6_NV12_NW6_O2,WTA-MAFA v0.4,2,1,1,0.7239703446465,NA,0,3.237
swta,MOP4_NT200_NS12_NC6_NV12_NW6_O3,WTA-MAFA v0.4,2,1,1,0.7239703446465,NA,0,3.322
swta,MOP4_NT200_NS12_NC6_NV12_NW6_O4,WTA-MAFA v0.4,2,1,1,0.7239703446465,NA,0,1.397
swta,MOP4_NT200_NS15_NC12_NV15_NW12_O2,WTA-MAFA v0.4,2,1,1,0.735398650233,NA,0,2.22
swta,MOP4_NT200_NS15_NC12_NV15_NW12_O3,WTA-MAFA v0.4,2,1,1,0.735398650233,NA,0,2.366
swta,MOP4_NT200_NS15_NC12_NV15_NW12_O4,WTA-MAFA v0.4,2,1,1,0.735398650233,NA,0,2.296
swta,MOP4_NT50_NS5_NC2_NV5_NW2_O2,WTA-MAFA v0.4,2,1,1,0.75680406025,NA,0,0.043
swta,MOP4_NT50_NS5_NC2_NV5_NW2_O3,WTA-MAFA v0.4,2,1,1,0.75680406025,NA,0,0.045
swta,MOP4_NT50_NS5_NC2_NV5_NW2_O4,WTA-MAFA v0.4,2,1,1,0.75680406025,NA,0,0.049
swta,MOP4_NT50_NS8_NC6_NV8_NW6_O2,WTA-MAFA v0.4,2,1,1,0.7817515962874999,NA,0,0.357
swta,MOP4_NT50_NS8_NC6_NV8_NW6_O3,WTA-MAFA v0.4,2,1,1,0.7817515962874999,NA,0,0.107
swta,MOP4_NT50_NS8_NC6_NV8_NW6_O4,WTA-MAFA v0.4,2,1,1,0.7817515962874999,NA,0,0.111
swta,MOP5_NT100_NS10_NC9_NV10_NW9_O2,WTA-MAFA v0.4,2,1,1,0.723583557316,NA,0,0.088
swta,MOP5_NT100_NS10_NC9_NV10_NW9_O3,WTA-MAFA v0.4,2,1,1,0.723583557316,NA,0,0.093
swta,MOP5_NT100_NS10_NC9_NV10_NW9_O4,WTA-MAFA v0.4,2,1,1,0.723583557316,NA,0,0.091
swta,MOP5_NT100_NS6_NC6_NV6_NW6_O2,WTA-MAFA v0.4,2,1,1,0.698580859872,NA,0,0.017
swta,MOP5_NT100_NS6_NC6_NV6_NW6_O3,WTA-MAFA v0.4,2,1,1,0.698580859872,NA,0,0.017
swta,MOP5_NT100_NS6_NC6_NV6_NW6_O4,WTA-MAFA v0.4,2,1,1,0.698580859872,NA,0,0.017
swta,MOP5_NT200_NS12_NC6_NV12_NW6_O2,WTA-MAFA v0.4,2,1,1,0.7056588261725,NA,0,0.291
swta,MOP5_NT200_NS12_NC6_NV12_NW6_O3,WTA-MAFA v0.4,2,0.5,0.5,0.720684262234,NA,0,0.235
swta,MOP5_NT200_NS12_NC6_NV12_NW6_O4,WTA-MAFA v0.4,2,1,1,0.7056588261725,NA,0,0.486
swta,MOP5_NT200_NS15_NC12_NV15_NW12_O2,WTA-MAFA v0.4,2,1,1,0.7141941124710001,NA,0,0.41
